date,state,fips,cases,deaths,daily cases,daily deaths
2021-05-10,Washington,53,417677,5630,1735.0,21.0
2021-05-11,Washington,53,418879,5637,1202.0,7.0
2021-05-12,Washington,53,419977,5658,1098.0,21.0
2021-05-13,Washington,53,421279,5669,1302.0,11.0
2021-05-14,Washington,53,423721,5663,2442.0,-6.0
2021-05-15,Washington,53,424499,5663,778.0,0.0
2021-05-16,Washington,53,424581,5663,82.0,0.0
2021-05-17,Washington,53,425382,5682,801.0,19.0
2021-05-18,Washington,53,426058,5700,676.0,18.0
2021-05-19,Washington,53,426949,5720,891.0,20.0
2021-05-20,Washington,53,427913,5735,964.0,15.0
2021-05-21,Washington,53,429514,5747,1601.0,12.0
2021-05-22,Washington,53,429514,5747,0.0,0.0
2021-05-23,Washington,53,429526,5747,12.0,0.0
2021-05-24,Washington,53,431446,5754,1920.0,7.0
2021-05-25,Washington,53,432490,5767,1044.0,13.0
2021-05-26,Washington,53,434154,5785,1664.0,18.0
2021-05-27,Washington,53,435680,5798,1526.0,13.0
2021-05-28,Washington,53,436741,5809,1061.0,11.0
2021-05-29,Washington,53,437492,5809,751.0,0.0
2021-05-30,Washington,53,437492,5809,0.0,0.0
2021-05-31,Washington,53,437500,5809,8.0,0.0
2021-06-01,Washington,53,438918,5833,1418.0,24.0
2021-06-02,Washington,53,439675,5845,757.0,12.0
2021-06-03,Washington,53,440538,5866,863.0,21.0
2021-06-04,Washington,53,441271,5881,733.0,15.0
2021-06-05,Washington,53,441926,5881,655.0,0.0
2021-06-06,Washington,53,442006,5881,80.0,0.0
2021-06-07,Washington,53,442762,5894,756.0,13.0
2021-06-08,Washington,53,443564,5821,802.0,-73.0
2021-06-09,Washington,53,444159,5836,595.0,15.0
2021-06-10,Washington,53,444922,5846,763.0,10.0
2021-06-11,Washington,53,445488,5857,566.0,11.0
2021-06-12,Washington,53,446034,5857,546.0,0.0
2021-06-13,Washington,53,446091,5858,57.0,1.0
2021-06-14,Washington,53,446778,5825,687.0,-33.0
2021-06-15,Washington,53,447266,5842,488.0,17.0
2021-06-16,Washington,53,447781,5850,515.0,8.0
2021-06-17,Washington,53,448263,5852,482.0,2.0
2021-06-18,Washington,53,448716,5863,453.0,11.0
2021-06-19,Washington,53,449108,5867,392.0,4.0
2021-06-20,Washington,53,449170,5867,62.0,0.0
2021-06-21,Washington,53,449829,5881,659.0,14.0
2021-06-22,Washington,53,450253,5887,424.0,6.0
2021-06-23,Washington,53,450995,5930,742.0,43.0
2021-06-24,Washington,53,451560,5939,565.0,9.0
2021-06-25,Washington,53,451980,5949,420.0,10.0
2021-06-26,Washington,53,452327,5948,347.0,-1.0
2021-06-27,Washington,53,452390,5948,63.0,0.0
2021-06-28,Washington,53,452960,5956,570.0,8.0
2021-06-29,Washington,53,453307,5963,347.0,7.0
2021-06-30,Washington,53,453630,5984,323.0,21.0
2021-07-01,Washington,53,454087,5992,457.0,8.0
2021-07-02,Washington,53,454484,5994,397.0,2.0
2021-07-03,Washington,53,454484,5994,0.0,0.0
2021-07-04,Washington,53,454484,5994,0.0,0.0
2021-07-05,Washington,53,454484,5994,0.0,0.0
2021-07-06,Washington,53,455630,6011,1146.0,17.0
2021-07-07,Washington,53,456116,6027,486.0,16.0
2021-07-08,Washington,53,456643,6040,527.0,13.0
2021-07-09,Washington,53,457092,6050,449.0,10.0
2021-07-10,Washington,53,457092,6050,0.0,0.0
2021-07-11,Washington,53,457092,6050,0.0,0.0
2021-07-12,Washington,53,458724,6051,1632.0,1.0
2021-07-13,Washington,53,459282,6070,558.0,19.0
2021-07-14,Washington,53,460015,6076,733.0,6.0
2021-07-15,Washington,53,460730,6086,715.0,10.0
2021-07-16,Washington,53,461401,6093,671.0,7.0
2021-07-17,Washington,53,461412,6093,11.0,0.0
2021-07-18,Washington,53,461412,6093,0.0,0.0
2021-07-19,Washington,53,463232,6096,1820.0,3.0
2021-07-20,Washington,53,464014,6106,782.0,10.0
2021-07-21,Washington,53,464963,6112,949.0,6.0
2021-07-22,Washington,53,466437,6114,1474.0,2.0
2021-07-23,Washington,53,467489,6124,1052.0,10.0
2021-07-24,Washington,53,467489,6124,0.0,0.0
2021-07-25,Washington,53,467489,6124,0.0,0.0
2021-07-26,Washington,53,470553,6134,3064.0,10.0
2021-07-27,Washington,53,471529,6141,976.0,7.0
2021-07-28,Washington,53,472867,6143,1338.0,2.0
2021-07-29,Washington,53,473676,6160,809.0,17.0
2021-07-30,Washington,53,474520,6165,844.0,5.0
2021-07-31,Washington,53,474520,6165,0.0,0.0
2021-08-01,Washington,53,474520,6165,0.0,0.0
2021-08-02,Washington,53,477352,6169,2832.0,4.0
2021-08-03,Washington,53,482341,6177,4989.0,8.0
2021-08-04,Washington,53,484838,6185,2497.0,8.0
2021-08-05,Washington,53,487754,6200,2916.0,15.0
2021-08-06,Washington,53,489960,6209,2206.0,9.0
2021-08-07,Washington,53,489960,6209,0.0,0.0
2021-08-08,Washington,53,489960,6209,0.0,0.0
2021-08-09,Washington,53,496367,6216,6407.0,7.0
2021-08-10,Washington,53,497771,6233,1404.0,17.0
2021-08-11,Washington,53,501941,6250,4170.0,17.0
2021-08-12,Washington,53,505566,6262,3625.0,12.0
2021-08-13,Washington,53,508631,6287,3065.0,25.0
2021-08-14,Washington,53,508631,6287,0.0,0.0
2021-08-15,Washington,53,508631,6287,0.0,0.0
2021-08-16,Washington,53,516226,6295,7595.0,8.0
2021-08-17,Washington,53,518604,6317,2378.0,22.0
2021-08-18,Washington,53,522390,6346,3786.0,29.0
2021-08-19,Washington,53,526305,6378,3915.0,32.0
2021-08-20,Washington,53,530094,6401,3789.0,23.0
2021-08-21,Washington,53,530203,6401,109.0,0.0
2021-08-22,Washington,53,530203,6401,0.0,0.0
2021-08-23,Washington,53,538206,6427,8003.0,26.0
2021-08-24,Washington,53,541672,6475,3466.0,48.0
2021-08-25,Washington,53,544623,6506,2951.0,31.0
2021-08-26,Washington,53,548608,6537,3985.0,31.0
2021-08-27,Washington,53,553077,6567,4469.0,30.0
2021-08-28,Washington,53,553077,6567,0.0,0.0
2021-08-29,Washington,53,553077,6567,0.0,0.0
2021-08-30,Washington,53,561423,6591,8346.0,24.0
2021-08-31,Washington,53,564787,6638,3364.0,47.0
2021-09-01,Washington,53,568881,6671,4094.0,33.0
