date,daily cases,daily deaths,state
2021-08-11,155577.0,338.0,US
2021-08-12,138709.0,1022.0,US
2021-08-13,187392.0,1086.0,US
2021-08-14,49817.0,242.0,US
2021-08-15,43818.0,177.0,US
2021-08-16,259493.0,1016.0,US
2021-08-17,144297.0,993.0,US
2021-08-18,164869.0,1128.0,US
2021-08-19,159806.0,1734.0,US
2021-08-20,199294.0,1532.0,US
2021-08-21,79391.0,469.0,US
2021-08-22,40573.0,185.0,US
2021-08-23,266147.0,1359.0,US
2021-08-24,150197.0,1413.0,US
2021-08-25,170936.0,1465.0,US
2021-08-26,187761.0,2213.0,US
2021-08-27,195911.0,1774.0,US
2021-08-28,85259.0,567.0,US
2021-08-29,42158.0,280.0,US
2021-08-30,280403.0,1725.0,US
2021-08-31,160250.0,1438.0,US
2021-09-01,210995.0,1935.0,US
2021-09-02,175696.0,2937.0,US
2021-09-03,191475.0,1979.0,US
2021-09-04,66054.0,526.0,US
2021-09-05,44417.0,377.0,US
2021-09-06,76976.0,515.0,US
2021-09-07,301138.0,2226.0,US
2021-09-08,184189.0,2202.0,US
2021-09-09,170571.0,3232.0,US
2021-09-10,176316.0,2417.0,US
2021-09-11,73926.0,691.0,US
2021-09-12,39558.0,298.0,US
2021-09-13,285058.0,1725.0,US
2021-09-14,152696.0,2656.0,US
2021-09-15,170195.0,2581.0,US
2021-09-16,154883.0,3418.0,US
2021-09-17,166938.0,2579.0,US
2021-09-18,68180.0,824.0,US
2021-09-19,39956.0,302.0,US
2021-09-20,208166.0,2252.0,US
2021-09-21,129975.0,2365.0,US
2021-09-22,147492.0,2787.0,US
2021-09-23,127864.0,3155.0,US
2021-09-24,140011.0,2749.0,US
2021-09-25,51592.0,629.0,US
2021-09-26,34235.0,302.0,US
2021-09-27,194789.0,2381.0,US
2021-09-28,113340.0,2319.0,US
2021-09-29,128512.0,2515.0,US
2021-09-30,116209.0,2743.0,US
2021-10-01,125776.0,2447.0,US
2021-10-02,44222.0,648.0,US
2021-10-03,25839.0,249.0,US
2021-10-04,172699.0,2035.0,US
2021-10-05,98602.0,2028.0,US
2021-10-06,125955.0,2530.0,US
2021-10-07,105402.0,2449.0,US
2021-10-08,112926.0,2445.0,US
2021-10-09,37334.0,513.0,US
2021-10-10,23039.0,481.0,US
2021-10-11,123680.0,1162.0,US
2021-10-12,111576.0,2525.0,US
2021-10-13,106557.0,2239.0,US
2021-10-14,88969.0,2042.0,US
2021-10-15,98560.0,2175.0,US
2021-10-16,33541.0,387.0,US
2021-10-17,22152.0,182.0,US
2021-10-18,122033.0,1872.0,US
2021-10-19,83683.0,2137.0,US
2021-10-20,86622.0,3006.0,US
2021-10-21,81946.0,1876.0,US
2021-10-22,87297.0,2135.0,US
2021-10-23,29824.0,449.0,US
2021-10-24,17102.0,148.0,US
2021-10-25,105561.0,1413.0,US
2021-10-26,87423.0,1736.0,US
2021-10-27,94544.0,2015.0,US
2021-10-28,86185.0,1782.0,US
